,"CD_i_SIG","CD_i_TILE","CD_ni_SIG","CD_ni_TILE","Ctrl_ni_SIG","Ctrl_ni_TILE","DC_i_SIG","DC_i_TILE","DC_ni_SIG","DC_ni_TILE","UC_i_SIG","UC_i_TILE","UC_ni_SIG","UC_ni_TILE"
5009,0,1,0,1,0,1,0,1,0,1,0,1,0,1
51606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9563,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9498,0,0,0,0,0,0,0,0,0,0,0,0,0,0
954,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8908,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56848,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3029,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4942,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4710,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4129,0,1,0,1,0,1,0,1,0,1,0,1,0,1
8399,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11320,0,0,0,1,0,1,0,0,0,1,0,1,0,1
79901,0,1,0,1,0,1,0,1,0,1,0,1,0,1
7037,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29953,0,0,0,1,0,1,0,0,0,1,0,0,0,1
949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8647,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5743,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,1,0,1,0,1,0,1,0,1,0,1,0,1,0
38,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2329,0,0,0,1,0,1,0,0,0,1,0,0,0,1
113235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8671,1,0,1,0,1,0,1,0,1,0,1,0,1,0
384,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6561,0,1,0,1,0,1,0,1,0,1,0,1,0,1
594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80271,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8898,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512,0,1,0,1,0,1,0,1,0,1,0,1,0,1
6820,0,1,0,1,0,1,0,1,0,1,0,1,0,1
6564,0,1,0,1,0,1,0,1,0,1,0,1,0,1
6476,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1811,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23428,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55350,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1384,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54187,1,0,1,0,1,0,1,0,1,0,1,0,1,0
11332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102724197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5625,0,1,0,1,0,1,0,1,0,1,0,1,0,1
6576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6523,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1565,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3162,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5372,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64781,0,0,0,1,0,1,0,0,0,1,0,1,0,1
5836,1,1,1,0,1,0,1,1,1,0,1,1,1,0
5283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
